Nodo,Volumen,Uso cpu (≈ %),Uso memoria (≈%),Uso cpu Docker (≈%),Uso memoria Docker (≈%)
Be1,50K,20,9.375,25.0,68.75
Be1,500K,30,21.875,37.5,81.5
Be1,1M,60,25.0,75.0,87.5
Be1,1.5M,65,35.9,85.5,90.25
Be1,2M,60,40.625,93.75,90.625
Be1,5M,40,34.5,87.5,81.5
Be1,10M,40,18.75,87.5,70
Be2,50K,20,9.375,25.0,68.75
Be2,500K,30,21.875,37.5,81.5
Be2,1M,60,25.0,75.0,87.5
Be2,1.5M,65,35.9,85.5,90.25
Be2,2M,80,40,93.75,90.625
Be2,5M,40,34.5,87.5,81.5
Be2,10M,40,18.75,87.5,70
Be3,50K,20,9.375,25.0,68.75
Be3,500K,30,21.875,37.5,81.5
Be3,1M,60,31.25,75.0,87.5
Be3,1.5M,65,35.9,85.5,90.25
Be3,2M,70,37.5,93.75,90.625
Be3,5M,40,34.5,87.5,81.5
Be3,10M,40,18.75,87.5,70
